id,group_code,index,register,name,unit,scale,access,default,live_raw,live_eng,map_status
F0.00,F0,0,0xF000,Pre-set pressure,bar,10,rw,,26,2.6,ok
F0.01,F0,1,0xF001,Startup pressure deviation,bar,10,rw,0.3,5,0.5,ok
F0.02,F0,2,0xF002,Motor rotation direction,,1,rw_stop,0.0,0,0.0,ok
F0.03,F0,3,0xF003,Antifreeze function,,1,rw,0.0,0,0.0,ok
F0.04,F0,4,0xF004,Water leakage coefficient,,1,rw,2.5,25,25.0,ok
F0.05,F0,5,0xF005,Start/stop signal option,"0.05
           s",1,rw,0.0,0,0.0,ok
F0.06,F0,6,0xF006,Auto-starting option,,1,rw,0.0,0,0.0,ok
F0.07,F0,7,0xF007,Auto-starting delay time,s,10,rw,5.0,10,1.0,ok
F0.08,F0,8,0xF008,Sensor range,bar,10,rw,16.0,100,10.0,ok
F0.09,F0,9,0xF009,Sensor feedback channel,bar,10,rw,2.0,0,0.0,ok
F0.10,F0,10,0xF00A,High pressure alarm value,bar,10,rw,3.0,90,9.0,ok
F0.11,F0,11,0xF00B,Low pressure alarm value,bar,10,rw,0.0,0,0.0,ok
F0.12,F0,12,0xF00C,"pressure 0.0Bar～ Bar 3.5Bar Effective when =3, the",bar,10,rw,3.5,35,3.5,ok
F0.13,F0,13,0xF00D,starting 0.0Bar～ Bar 2.5Bar pressure is greater than pressure .The inlet pressure,bar,10,rw,2.5,25,2.5,ok
F0.14,F0,14,0xF00E,feedback 0:AI1 1:AI2 0 0 as signal detection.,,1,rw,0.0,0,0.0,ok
F0.15,F0,15,0xF00F,Working mode of VFD,,1,rw,0.0,0,0.0,ok
F0.16,F0,16,0xF010,Product number,,1,ro,,0,0.0,ok
F0.17,F0,17,0xF011,Software version,,1,ro,,2006,2006.0,ok
F0.18,F0,18,0xF012,Acceleration time,s,10,rw,5.0,25,2.5,ok
F0.19,F0,19,0xF013,Deceleration time,s,10,rw,5.0,50,5.0,ok
F0.20,F0,20,0xF014,Macro function,,1,rw_stop,0.0,0,0.0,ok
F1.00,F1,0,0xF100,communicati 0-5 \ 0 drives. The address of host on address drive is 0. 0: auxiliaries shut down after,,1,ro,0.0,0,0.0,ok
F1.01,F1,1,0xF101,standby host(auxiliar speed,,1,rw,0.0,0,0.0,ok
F1.02,F1,2,0xF102,communicati 0~1 \ 0 0: CAN was set to auxiliary 1: CAN was set to host on network,,1,ro,0.0,0,0.0,ok
F1.03,F1,3,0xF103,the auxiliary 0~5 Set 0 Note: This parameter only drives serves as PID frequency source and is only set in CAN,,1,ro,0.0,0,0.0,ok
F1.04,F1,4,0xF104,"operation control \ 0 enough, host and auxiliary",,1,rw_stop,0.0,0,0.0,ok
F1.05,F1,5,0xF105,time 0~3600 min 240 0: Cancel the alternating,min,10,rw,240.0,1,0.1,ok
F1.06,F1,6,0xF106,small pump 0~6 \ 6 auxiliary drives. 0 means that,,1,rw,6.0,5,5.0,ok
F1.07,F1,7,0xF107,of adding ~ s adding pumps when the pumps pressure is not enough. 0：Controlled,s,10,rw,5.0,1,0.1,ok
F1.17,F1,17,0xF111,command start signal 1 1 parameters to choose how to,,1,rw,1.0,1,1.0,ok
F1.18,F1,18,0xF112,command 1：Multi-line 1 1 parameter to select the,,1,rw,1.0,1,1.0,ok
F2.00,F2,0,0xF200,feedback 0-2 / 0 2: -4.5V,,1,rw,0.0,0,0.0,ok
F2.01,F2,1,0xF201,correction - signal deviation coefficient Selection of 0:4-20mA,,1,rw,1.0,1000,1000.0,ok
F2.02,F2,2,0xF202,feedback 0-2 / 1 2: -4.5V,,1,rw,1.0,0,0.0,ok
F2.03,F2,3,0xF203,correction - signal deviation coefficient Motor,,1,rw,1.0,1000,1000.0,ok
F2.04,F2,4,0xF204,control 1：VF 1 1 1：AM-VF；,,1,rw_stop,1.0,1,1.0,ok
F2.05,F2,5,0xF205,source water supply / 8 Choose 5 for emergent,s,10,rw_stop,8.0,8,0.8,ok
F2.06,F2,6,0xF206,Lower limit of running frequency,Hz,100,rw,50.0,6300,63.0,ok
F2.07,F2,7,0xF207,Maximum output frequency,Hz,100,rw,50.0,6300,63.0,ok
F2.08,F2,8,0xF208,Upper limit of running frequency,Hz,100,rw,50.0,4000,40.0,ok
F2.09,F2,9,0xF209,reaches the frequency \ 2,,1,rw,2.0,0,0.0,ok
F2.10,F2,10,0xF20A,Carrier frequency,kHz,10,rw,,150,15.0,ok
F2.11,F2,11,0xF20B,mode 1: Running \ 0,,1,rw,0.0,2,2.0,ok
F2.12,F2,12,0xF20C,the halt 1:Stop \ 0 mode of VFD.,,1,rw,0.0,0,0.0,ok
F2.13,F2,13,0xF20D,automatic 0~5 \ 3 E031) These are not affected reset failures by this function.,,1,rw,3.0,3,3.0,ok
F2.14,F2,14,0xF20E,carrier of the output 1001 0 improved,,1,rw,0.0,4097,4097.0,ok
F2.15,F2,15,0xF20F,0~ % % operating frequency of host(auxiliar constant speed mode.,0.0          %,1,rw,,800,800.0,ok
F3.00,F3,0,0xF300,Proportional gain,0.0     %,10,rw,20.0,1200,120.0,ok
F3.01,F3,1,0xF301,Integral time,s,100,rw,1.0,100,1.0,ok
F3.02,F3,2,0xF302,time ~ s Start-up time,s,10,rw,0.0,0,0.0,ok
F3.03,F3,3,0xF303,of PID ~ s Deviation,s,10,rw,0.1,10,1.0,ok
F3.04,F3,4,0xF304,limit of PID ~ % control PID source 0: setting by keyboard,0.0      %,1,rw,0.0,0,0.0,ok
F3.05,F3,5,0xF305,setting 0~2 \ 0 1: setting by AI1 choice 2: setting by AI2,,1,rw,0.0,0,0.0,ok
